# States,Total Myhill,Total Hopcroft,Total Brzozowski,Myhill,Hopcroft,Brzozowski
1,0.001043,0.000991,0.000624,0.000010,0.000010,0.000006
2,0.002465,0.002041,0.001294,0.000025,0.000020,0.000013
3,0.004685,0.003541,0.002370,0.000047,0.000035,0.000024
4,0.008426,0.005551,0.004585,0.000084,0.000056,0.000046
5,0.014217,0.008232,0.010467,0.000142,0.000082,0.000105
6,0.022566,0.011764,0.026077,0.000226,0.000118,0.000261
7,0.034829,0.016030,0.057311,0.000348,0.000160,0.000573
8,0.051438,0.021266,0.141026,0.000514,0.000213,0.001410
9,0.075913,0.028191,0.409215,0.000759,0.000282,0.004092
10,0.109429,0.036595,0.739120,0.001094,0.000366,0.007391
11,0.154882,0.047042,2.061587,0.001549,0.000470,0.020616
12,0.206280,0.058829,3.699135,0.002063,0.000588,0.036991
13,0.273632,0.072593,9.827803,0.002736,0.000726,0.098278
14,0.370011,0.091084,16.085722,0.003700,0.000911,0.160857
15,0.483711,0.112572,56.446189,0.004837,0.001126,0.564462
16,0.612657,0.135481,90.426326,0.006127,0.001355,0.904263
17,0.777462,0.165353,165.610168,0.007775,0.001654,1.656102
18,0.976764,0.197839,273.657418,0.009768,0.001978,2.736574
19,1.314912,0.249080,1650.208021,0.013149,0.002491,16.502080
20,1.700787,0.301206,1855.255818,0.017008,0.003012,18.552558
